load_mode,payload_len,acl_mode,request_count,success_count,timeout_count,mismatch_count,success_rate,avg_latency_us,p50_latency_us,p95_latency_us,throughput_mb_s,aes_request_count,sm4_request_count,aes_avg_latency_us,sm4_avg_latency_us
aes_only,64,acl_off,200,200,0,0,1.0,388877.8785,388886.8,389011.9,0.000157,,,,
aes_only,64,acl_on_nonmatching,200,200,0,0,1.0,388984.812,388944.5,389011.8,0.000157,,,,
aes_only,512,acl_off,200,200,0,0,1.0,134455.4625,134441.7,134505.9,0.003632,,,,
aes_only,512,acl_on_nonmatching,200,200,0,0,1.0,134458.364,134443.2,134496.1,0.003631,,,,
aes_only,1472,acl_off,200,200,0,0,1.0,168054.309,168103.2,168297.2,0.008353,,,,
aes_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168337.8955,168295.3,168352.9,0.008339,,,,
sm4_only,64,acl_off,200,200,0,0,1.0,389452.3135,389377.4,389443.7,0.000157,,,,
sm4_only,64,acl_on_nonmatching,200,200,0,0,1.0,389423.6315,389379.0,389431.3,0.000157,,,,
sm4_only,512,acl_off,200,200,0,0,1.0,134891.2935,134876.4,134934.7,0.00362,,,,
sm4_only,512,acl_on_nonmatching,200,200,0,0,1.0,134891.206,134876.2,134917.4,0.00362,,,,
sm4_only,1472,acl_off,200,200,0,0,1.0,168308.5715,168295.7,168349.5,0.008341,,,,
sm4_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168313.3935,168294.2,168352.1,0.00834,,,,
mixed_alt_50_50,64,acl_off,200,200,0,0,1.0,389429.4275,389380.3,389483.3,0.000157,100,100,389416.967,389441.888
mixed_alt_50_50,64,acl_on_nonmatching,200,200,0,0,1.0,389534.048,389465.4,389527.1,0.000157,100,100,389541.339,389526.757
mixed_alt_50_50,512,acl_off,200,200,0,0,1.0,134892.714,134877.3,134936.2,0.00362,100,100,134849.953,134935.475
mixed_alt_50_50,512,acl_on_nonmatching,200,200,0,0,1.0,134862.2255,134876.4,134936.5,0.003621,100,100,134847.758,134876.693
mixed_alt_50_50,1472,acl_off,200,200,0,0,1.0,168307.744,168294.5,168366.8,0.008341,100,100,168320.975,168294.513
mixed_alt_50_50,1472,acl_on_nonmatching,200,200,0,0,1.0,168308.0115,168293.4,168361.1,0.008341,100,100,168267.149,168348.874
