load_mode,payload_len,acl_mode,request_count,success_count,timeout_count,mismatch_count,success_rate,avg_latency_us,p50_latency_us,p95_latency_us,throughput_mb_s,aes_request_count,sm4_request_count,aes_avg_latency_us,sm4_avg_latency_us
aes_only,64,acl_off,200,200,0,0,1.0,389086.8695,388923.1,393930.0,0.000157,,,,
aes_only,64,acl_on_nonmatching,200,200,0,0,1.0,389013.5945,388942.2,388988.1,0.000157,,,,
aes_only,512,acl_off,200,200,0,0,1.0,134459.7625,134442.9,134497.0,0.003631,,,,
aes_only,512,acl_on_nonmatching,200,200,0,0,1.0,134462.236,134444.0,134483.9,0.003631,,,,
aes_only,1472,acl_off,200,200,0,0,1.0,168009.505,167881.9,168296.4,0.008356,,,,
aes_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168341.9415,168296.9,168354.4,0.008339,,,,
sm4_only,64,acl_off,200,200,0,0,1.0,389423.7305,389379.0,389422.7,0.000157,,,,
sm4_only,64,acl_on_nonmatching,200,200,0,0,1.0,389426.0625,389377.7,389438.5,0.000157,,,,
sm4_only,512,acl_off,200,200,0,0,1.0,134867.082,134876.8,134923.7,0.00362,,,,
sm4_only,512,acl_on_nonmatching,200,200,0,0,1.0,134895.2925,134877.5,134908.2,0.00362,,,,
sm4_only,1472,acl_off,200,200,0,0,1.0,168310.374,168295.4,168351.7,0.008341,,,,
sm4_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168314.0805,168293.1,168342.0,0.00834,,,,
mixed_alt_50_50,64,acl_off,200,200,0,0,1.0,389435.231,389381.0,389471.5,0.000157,100,100,389478.858,389391.604
mixed_alt_50_50,64,acl_on_nonmatching,200,200,0,0,1.0,389480.719,389464.8,389661.5,0.000157,100,100,389499.606,389461.832
mixed_alt_50_50,512,acl_off,200,200,0,0,1.0,134897.7125,134876.2,135351.7,0.00362,100,100,134920.586,134874.839
mixed_alt_50_50,512,acl_on_nonmatching,200,200,0,0,1.0,134890.946,134877.7,135277.3,0.00362,100,100,134821.817,134960.075
mixed_alt_50_50,1472,acl_off,200,200,0,0,1.0,168314.7715,168294.6,168505.4,0.00834,100,100,168346.232,168283.311
mixed_alt_50_50,1472,acl_on_nonmatching,200,200,0,0,1.0,168310.649,168294.5,168604.1,0.008341,100,100,168250.128,168371.17
