load_mode,payload_len,acl_mode,request_count,success_count,timeout_count,mismatch_count,success_rate,avg_latency_us,p50_latency_us,p95_latency_us,throughput_mb_s,aes_request_count,sm4_request_count,aes_avg_latency_us,sm4_avg_latency_us
aes_only,64,acl_off,200,200,0,0,1.0,389948.8625,389899.1,389964.4,0.000157,,,,
aes_only,64,acl_on_nonmatching,200,200,0,0,1.0,390006.9145,389900.0,389980.5,0.000156,,,,
aes_only,512,acl_off,200,200,0,0,1.0,135330.4245,135312.7,135359.6,0.003608,,,,
aes_only,512,acl_on_nonmatching,200,200,0,0,1.0,135300.745,135313.3,135372.2,0.003609,,,,
aes_only,1472,acl_off,200,200,0,0,1.0,168749.7935,168727.2,168790.9,0.008319,,,,
aes_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168748.4275,168727.7,168792.8,0.008319,,,,
sm4_only,64,acl_off,200,200,0,0,1.0,389942.8625,389897.9,389947.2,0.000157,,,,
sm4_only,64,acl_on_nonmatching,200,200,0,0,1.0,389946.8035,389900.3,389958.1,0.000157,,,,
sm4_only,512,acl_off,200,200,0,0,1.0,135303.1315,135311.6,135370.1,0.003609,,,,
sm4_only,512,acl_on_nonmatching,200,200,0,0,1.0,135359.2985,135312.5,135386.5,0.003607,,,,
sm4_only,1472,acl_off,200,200,0,0,1.0,168750.62,168730.6,168780.2,0.008319,,,,
sm4_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168751.246,168729.5,168788.1,0.008319,,,,
mixed_alt_50_50,64,acl_off,200,200,0,0,1.0,389919.225,389897.8,389970.8,0.000157,100,100,389882.36,389956.09
mixed_alt_50_50,64,acl_on_nonmatching,200,200,0,0,1.0,389919.755,389898.4,389955.6,0.000157,100,100,389879.451,389960.059
mixed_alt_50_50,512,acl_off,200,200,0,0,1.0,135331.79,135311.5,135365.3,0.003608,100,100,135290.977,135372.603
mixed_alt_50_50,512,acl_on_nonmatching,200,200,0,0,1.0,135330.7615,135311.2,135374.3,0.003608,100,100,135354.461,135307.062
mixed_alt_50_50,1472,acl_off,200,200,0,0,1.0,168748.9745,168728.2,168789.0,0.008319,100,100,168727.422,168770.527
mixed_alt_50_50,1472,acl_on_nonmatching,200,200,0,0,1.0,168719.058,168728.8,168802.1,0.00832,100,100,168723.364,168714.752
