load_mode,payload_len,acl_mode,request_count,success_count,timeout_count,mismatch_count,success_rate,avg_latency_us,p50_latency_us,p95_latency_us,throughput_mb_s,aes_request_count,sm4_request_count,aes_avg_latency_us,sm4_avg_latency_us
aes_only,64,acl_off,200,200,0,0,1.0,389975.5915,389898.9,389963.3,0.000157,,,,
aes_only,64,acl_on_nonmatching,200,200,0,0,1.0,389974.349,389899.9,389954.8,0.000157,,,,
aes_only,512,acl_off,200,200,0,0,1.0,135332.5655,135310.5,135355.2,0.003608,,,,
aes_only,512,acl_on_nonmatching,200,200,0,0,1.0,135301.9035,135311.3,135368.6,0.003609,,,,
aes_only,1472,acl_off,200,200,0,0,1.0,168745.6535,168729.3,168775.1,0.008319,,,,
aes_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168749.425,168730.1,168775.3,0.008319,,,,
sm4_only,64,acl_off,200,200,0,0,1.0,389947.39,389899.2,389937.1,0.000157,,,,
sm4_only,64,acl_on_nonmatching,200,200,0,0,1.0,389978.5875,389898.9,389939.5,0.000157,,,,
sm4_only,512,acl_off,200,200,0,0,1.0,135303.4045,135309.4,135349.4,0.003609,,,,
sm4_only,512,acl_on_nonmatching,200,200,0,0,1.0,135332.5605,135311.8,135344.2,0.003608,,,,
sm4_only,1472,acl_off,200,200,0,0,1.0,168748.653,168727.6,168764.5,0.008319,,,,
sm4_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168748.386,168729.2,168758.1,0.008319,,,,
mixed_alt_50_50,64,acl_off,200,200,0,0,1.0,389917.845,389898.6,389932.9,0.000157,100,100,389881.933,389953.757
mixed_alt_50_50,64,acl_on_nonmatching,200,200,0,0,1.0,390004.5085,389900.1,389940.7,0.000156,100,100,389877.317,390131.7
mixed_alt_50_50,512,acl_off,200,200,0,0,1.0,135329.7425,135311.1,135342.1,0.003608,100,100,135293.989,135365.496
mixed_alt_50_50,512,acl_on_nonmatching,200,200,0,0,1.0,135332.022,135310.4,135339.5,0.003608,100,100,135294.056,135369.988
mixed_alt_50_50,1472,acl_off,200,200,0,0,1.0,168749.243,168730.1,168755.7,0.008319,100,100,168711.041,168787.445
mixed_alt_50_50,1472,acl_on_nonmatching,200,200,0,0,1.0,168718.4755,168730.4,168760.7,0.00832,100,100,168709.118,168727.833
