load_mode,payload_len,acl_mode,request_count,success_count,timeout_count,mismatch_count,success_rate,avg_latency_us,p50_latency_us,p95_latency_us,throughput_mb_s,aes_request_count,sm4_request_count,aes_avg_latency_us,sm4_avg_latency_us
aes_only,64,acl_off,200,200,0,0,1.0,389506.579,389466.5,389888.3,0.000157,,,,
aes_only,64,acl_on_nonmatching,200,200,0,0,1.0,389506.674,389465.7,389653.7,0.000157,,,,
aes_only,512,acl_off,200,200,0,0,1.0,134891.825,134876.3,134925.5,0.00362,,,,
aes_only,512,acl_on_nonmatching,200,200,0,0,1.0,134866.1175,134876.7,134925.4,0.00362,,,,
aes_only,1472,acl_off,200,200,0,0,1.0,168313.9755,168295.4,168346.6,0.00834,,,,
aes_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168311.393,168295.5,168342.5,0.008341,,,,
sm4_only,64,acl_off,200,200,0,0,1.0,389510.943,389464.7,389530.8,0.000157,,,,
sm4_only,64,acl_on_nonmatching,200,200,0,0,1.0,389511.939,389465.1,389545.3,0.000157,,,,
sm4_only,512,acl_off,200,200,0,0,1.0,134868.163,134876.1,134953.7,0.00362,,,,
sm4_only,512,acl_on_nonmatching,200,200,0,0,1.0,134893.8105,134876.4,134950.9,0.00362,,,,
sm4_only,1472,acl_off,200,200,0,0,1.0,168315.355,168295.8,168341.4,0.00834,,,,
sm4_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168454.3975,168498.8,168598.8,0.008333,,,,
mixed_alt_50_50,64,acl_off,200,200,0,0,1.0,389815.333,389735.3,389916.6,0.000157,100,100,389859.291,389771.375
mixed_alt_50_50,64,acl_on_nonmatching,200,200,0,0,1.0,389946.191,389899.6,389943.4,0.000157,100,100,389876.033,390016.349
mixed_alt_50_50,512,acl_off,200,200,0,0,1.0,135329.536,135309.5,135368.2,0.003608,100,100,135345.475,135313.597
mixed_alt_50_50,512,acl_on_nonmatching,200,200,0,0,1.0,135329.0165,135312.0,135358.1,0.003608,100,100,135295.507,135362.526
mixed_alt_50_50,1472,acl_off,200,200,0,0,1.0,168718.778,168728.6,168768.3,0.00832,100,100,168713.744,168723.812
mixed_alt_50_50,1472,acl_on_nonmatching,200,200,0,0,1.0,168747.941,168731.2,168771.4,0.008319,100,100,168762.077,168733.805
