load_mode,payload_len,acl_mode,request_count,success_count,timeout_count,mismatch_count,success_rate,avg_latency_us,p50_latency_us,p95_latency_us,throughput_mb_s,aes_request_count,sm4_request_count,aes_avg_latency_us,sm4_avg_latency_us
aes_only,64,acl_off,200,200,0,0,1.0,389510.2825,389466.2,389895.6,0.000157,,,,
aes_only,64,acl_on_nonmatching,200,200,0,0,1.0,389507.1275,389462.8,389747.6,0.000157,,,,
aes_only,512,acl_off,200,200,0,0,1.0,134861.3055,134876.4,135061.7,0.003621,,,,
aes_only,512,acl_on_nonmatching,200,200,0,0,1.0,134892.4905,134875.7,135227.4,0.00362,,,,
aes_only,1472,acl_off,200,200,0,0,1.0,168316.3495,168294.4,168538.4,0.00834,,,,
aes_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168286.9045,168295.1,168426.1,0.008342,,,,
sm4_only,64,acl_off,200,200,0,0,1.0,389479.233,389466.8,389781.0,0.000157,,,,
sm4_only,64,acl_on_nonmatching,200,200,0,0,1.0,389509.6195,389465.5,389917.2,0.000157,,,,
sm4_only,512,acl_off,200,200,0,0,1.0,134894.1865,134875.2,135164.3,0.00362,,,,
sm4_only,512,acl_on_nonmatching,200,200,0,0,1.0,134865.521,134878.2,135154.3,0.003621,,,,
sm4_only,1472,acl_off,200,200,0,0,1.0,168311.1745,168294.8,168639.8,0.008341,,,,
sm4_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168340.25,168293.2,168604.9,0.008339,,,,
mixed_alt_50_50,64,acl_off,200,200,0,0,1.0,389533.2525,389465.2,389832.7,0.000157,100,100,389459.819,389606.686
mixed_alt_50_50,64,acl_on_nonmatching,200,200,0,0,1.0,389539.642,389464.3,389791.3,0.000157,100,100,389518.807,389560.477
mixed_alt_50_50,512,acl_off,200,200,0,0,1.0,134865.927,134877.2,135164.7,0.00362,100,100,134865.309,134866.545
mixed_alt_50_50,512,acl_on_nonmatching,200,200,0,0,1.0,134864.8445,134876.6,135072.9,0.003621,100,100,134840.321,134889.368
mixed_alt_50_50,1472,acl_off,200,200,0,0,1.0,168311.7525,168294.0,168675.9,0.008341,100,100,168380.88,168242.625
mixed_alt_50_50,1472,acl_on_nonmatching,200,200,0,0,1.0,168313.8975,168297.2,168528.6,0.00834,100,100,168277.953,168349.842
