load_mode,payload_len,acl_mode,request_count,success_count,timeout_count,mismatch_count,success_rate,avg_latency_us,p50_latency_us,p95_latency_us,throughput_mb_s,aes_request_count,sm4_request_count,aes_avg_latency_us,sm4_avg_latency_us
aes_only,64,acl_off,200,200,0,0,1.0,389950.149,389900.1,389941.8,0.000157,,,,
aes_only,64,acl_on_nonmatching,200,200,0,0,1.0,389948.8,389899.1,389942.0,0.000157,,,,
aes_only,512,acl_off,200,200,0,0,1.0,135326.823,135310.4,135341.3,0.003608,,,,
aes_only,512,acl_on_nonmatching,200,200,0,0,1.0,135303.0265,135309.9,135338.2,0.003609,,,,
aes_only,1472,acl_off,200,200,0,0,1.0,168748.52,168728.5,168761.0,0.008319,,,,
aes_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168745.5265,168730.9,168764.3,0.008319,,,,
sm4_only,64,acl_off,200,200,0,0,1.0,389945.5035,389898.5,389923.5,0.000157,,,,
sm4_only,64,acl_on_nonmatching,200,200,0,0,1.0,389946.71,389897.9,389930.8,0.000157,,,,
sm4_only,512,acl_off,200,200,0,0,1.0,135297.1285,135309.0,135341.8,0.003609,,,,
sm4_only,512,acl_on_nonmatching,200,200,0,0,1.0,135326.721,135311.5,135343.5,0.003608,,,,
sm4_only,1472,acl_off,200,200,0,0,1.0,168749.708,168729.4,168757.3,0.008319,,,,
sm4_only,1472,acl_on_nonmatching,200,200,0,0,1.0,168745.151,168729.3,168765.6,0.008319,,,,
mixed_alt_50_50,64,acl_off,200,200,0,0,1.0,389947.755,389900.3,389930.6,0.000157,100,100,389881.447,390014.063
mixed_alt_50_50,64,acl_on_nonmatching,200,200,0,0,1.0,389920.0115,389899.3,389940.4,0.000157,100,100,389940.767,389899.256
mixed_alt_50_50,512,acl_off,200,200,0,0,1.0,135331.364,135313.7,135343.7,0.003608,100,100,135296.436,135366.292
mixed_alt_50_50,512,acl_on_nonmatching,200,200,0,0,1.0,135332.355,135310.0,135354.1,0.003608,100,100,135356.511,135308.199
mixed_alt_50_50,1472,acl_off,200,200,0,0,1.0,168719.2765,168730.8,168783.4,0.00832,100,100,168695.616,168742.937
mixed_alt_50_50,1472,acl_on_nonmatching,200,200,0,0,1.0,168721.544,168728.9,168793.6,0.00832,100,100,168698.483,168744.605
